download,upload,ping,timestamp,bytes_sent,bytes_received
153683697.64687264,24094161.35149175,20.012,2023-03-23T18:16:47.241738Z,30818304,193146188
166828276.22081417,23835129.575625293,18.66,2023-03-23T18:20:01.281220Z,30621696,209355324
157046184.5553953,24553965.504404318,19.932,2023-03-23T18:25:01.784003Z,30834688,196801084
150093081.79708385,23255591.930090956,23.406,2023-03-23T18:35:01.965317Z,29409280,188252252
146847049.93975815,24324318.879772037,20.464,2023-03-23T18:40:01.427465Z,30695424,184198780
160247858.0086457,24031059.01090699,21.647,2023-03-23T18:45:01.839490Z,30785536,201009724
157592083.68215898,24963704.73227301,20.132,2023-03-23T18:50:01.445398Z,31383552,197662028
156981604.64335084,23570551.465141267,19.695,2023-03-23T18:55:01.770758Z,29679616,197304412
164879410.6921793,24708724.73373518,21.518,2023-03-23T19:05:02.007888Z,31105024,206570044
164380193.32729557,24084921.724435784,20.255,2023-03-23T19:10:01.306786Z,30351360,205843004
147355067.70911637,24340713.326626316,21.579,2023-03-23T19:15:01.668476Z,30654464,185130620
168937580.87561014,23871913.315110162,19.176,2023-03-23T19:20:02.058908Z,30760960,212202044
164448512.26418707,23536094.714614186,21.346,2023-03-23T19:25:01.692976Z,30588928,206109244
154572786.9771651,24722568.90155716,22.047,2023-03-23T19:35:02.153112Z,30990336,193688124
145821550.1402838,24445621.631143074,19.754,2023-03-23T19:40:01.480586Z,30720000,183297660
165714472.51008767,24045335.90070735,21.017,2023-03-23T19:45:01.814767Z,30441472,207829564
146963823.21092668,21933424.457253866,24.229,2023-03-23T19:50:01.237032Z,27541504,184515436
91941222.48433103,2154884.2183275684,20.364,2023-03-23T19:55:02.166030Z,3014656,117251236
149408548.46931052,23760447.808726363,21.639,2023-03-23T20:05:01.667242Z,30359552,187842652
384769226.4899577,24155315.65076457,20.305,2023-03-23T20:20:01.643767Z,30351360,409373932
466105814.4751308,24339724.94070039,19.057,2023-03-23T20:25:01.525331Z,30662656,409373932
448144928.85970163,24540765.093937706,19.405,2023-03-23T20:35:01.790613Z,30851072,409373932
385093067.81216925,24529866.0287824,19.5,2023-03-23T20:40:01.439260Z,31227904,409373932
200439774.88957936,20778153.27889659,19.653,2023-03-23T20:45:01.422990Z,26787840,250817084
353790196.9845362,24074896.515091453,19.318,2023-03-23T20:50:01.961940Z,30195712,409373932
458538689.3418331,24554378.07237445,18.855,2023-03-23T20:55:01.471526Z,30965760,409373932
462801484.4672754,22651524.91511027,27.064,2023-03-23T21:10:02.009227Z,30752768,409373932
645675165.502166,24015105.6584222,23.599,2023-03-23T21:15:01.461022Z,30572544,409373932
460595949.1887032,24740333.941191122,24.639,2023-03-23T21:20:02.048388Z,31105024,409373932
618465350.0141267,22905268.34058755,32.396,2023-03-25T21:59:44.161674Z,29237248,409373932
640189029.6165693,23954255.926464528,29.697,2023-04-03T16:13:01.275642Z,30048256,409373932
482926950.7115344,22429807.125093985,26.333,2023-04-03T17:38:16.034580Z,28139520,409373932
743362004.4380002,22509472.32901052,23.412,2023-04-03T17:40:57.866588Z,28311552,409373932
821576820.1929054,24823858.009886254,19.773,2023-04-03T21:17:01.242799Z,31219712,409373932
685916146.8259964,24217240.36549177,22.027,2023-04-04T21:17:01.369090Z,30760960,409373932
538503061.4668483,23471806.398526613,27.97,2023-04-05T21:17:01.665549Z,29581312,409373932
659727792.5053626,23365438.961754303,24.876,2023-04-06T21:17:01.248984Z,29392896,409373932
840879451.0125082,25333489.257688213,19.256,2023-04-07T21:17:02.208446Z,31768576,409373932
504668555.9854777,23418637.672245,26.455,2023-04-07T23:35:30.125251Z,30490624,409373932
405230257.548636,23831354.660749275,26.767,2023-04-08T21:17:01.595925Z,29892608,409373932
293926668.1387146,24407951.53372975,20.303,2023-04-09T21:17:01.594828Z,30613504,367451265
573303070.9493989,23775718.992970876,26.612,2023-04-10T21:17:01.436574Z,30089216,409373932
414392985.9258345,23732427.06859407,25.905,2023-04-11T21:17:02.062853Z,30031872,409373932
434406313.793805,24126300.144197334,27.287,2023-04-12T21:17:01.846916Z,30949376,409373932
763871243.1324602,21190601.71483109,23.681,2023-04-13T21:17:01.367482Z,27901952,409373932
577547283.1837295,22938685.429892495,31.961,2023-04-14T21:17:02.071590Z,29818880,409373932
482295068.12123185,23607957.379913595,33.735,2023-04-15T21:17:01.585353Z,30908416,409373932
311714967.60335636,24045452.568341088,30.064,2023-04-16T21:17:02.153991Z,30146560,389848002
705126195.1429687,23383503.000544082,25.818,2023-04-17T21:17:01.964749Z,29589504,409373932
430717008.5140757,23985575.065341488,21.156,2023-04-18T21:17:02.108053Z,30359552,409373932
687906660.8917621,23035745.567621533,28.779,2023-04-19T21:17:01.995289Z,29270016,409373932
371225078.62572134,20949839.32172965,26.997,2023-04-20T21:17:01.795286Z,26312704,409373932
158407302.2781764,7158413.413598335,23.631,2023-04-21T21:17:02.044213Z,9175040,255084138
213411337.74223128,23245985.864177354,24.59,2023-04-22T21:17:01.778127Z,29515776,267112531
609930040.3687507,3354879.9380227923,19.669,2023-04-23T21:17:01.795224Z,4718592,409373932
465517812.5850435,24053914.38990053,27.248,2023-04-24T21:17:02.075934Z,30310400,409373932
802409862.3920834,23997966.58142611,18.059,2023-04-25T21:17:01.610961Z,30457856,409373932
344537318.6035447,22539299.694750123,38.326,2023-04-26T21:17:02.055512Z,28327936,409373932
787622026.2480432,23106579.95645445,25.373,2023-04-27T21:17:01.701851Z,30203904,409373932
615214451.7767504,24690646.875183344,26.808,2023-04-28T21:17:01.344801Z,30990336,409373932
488181068.7474472,23332017.858008433,17.019,2023-04-29T21:17:01.933874Z,31277056,409373932
714297408.9147797,23183682.055222772,26.768,2023-04-30T21:17:01.957469Z,30015488,409373932
681277595.4484898,23559834.869123388,19.949,2023-05-01T21:17:02.142846Z,30097408,409373932
547318445.9408885,23844653.18749818,21.137,2023-05-02T21:17:01.942334Z,30490624,409373932
528443483.89469516,23618757.78986584,18.036,2023-05-03T21:17:02.138885Z,30826496,409373932
824217068.6597415,24734039.12271436,18.851,2023-05-04T21:17:01.451482Z,31023104,409373932
493737104.5757928,23654952.276111927,25.585,2023-05-05T21:17:01.596389Z,30466048,409373932
531837316.6275972,23295067.381353907,16.674,2023-05-06T21:17:01.292584Z,30310400,409373932
402572497.9277107,23328964.62461082,28.23,2023-05-07T21:17:01.614906Z,29556736,409373932
633419631.1156876,24040147.248273496,30.308,2023-05-08T21:17:01.467615Z,30285824,409373932
347023011.0780655,23747631.5812702,31.208,2023-05-09T21:17:02.144051Z,30146560,409373932
